time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
4.07000,-0.30859,1.24081,1.09866,0.02705,0.00000,0.00000,1.00000,0.00000,
4.10000,-0.30633,1.24570,1.09874,0.02645,0.00000,0.00000,1.00000,0.00000,
4.14000,-0.30207,1.25534,1.09887,0.02526,0.00000,0.00000,1.00000,0.00000,
4.17000,-0.29909,1.26245,1.09892,0.02438,0.00000,0.00000,1.00000,0.00000,
4.20000,-0.29534,1.27178,1.09894,0.02323,0.00000,0.00000,1.00000,0.00000,
4.24000,-0.29269,1.27864,1.09891,0.02238,0.00000,0.00000,1.00000,0.00000,
4.27000,-0.28935,1.28761,1.09883,0.02126,0.00000,0.00000,1.00000,0.00000,
4.30000,-0.28699,1.29421,1.09872,0.02043,0.00000,0.00000,1.00000,0.00000,
4.34000,-0.28474,1.30067,1.09858,0.01962,0.00000,0.00000,1.00000,0.00000,
4.37000,-0.28196,1.30908,1.09835,0.01856,0.00000,0.00000,1.00000,0.00000,
4.40000,-0.27884,1.31925,1.09799,0.01726,0.00000,0.00000,1.00000,0.00000,
4.44000,-0.27669,1.32709,1.09764,0.01626,0.00000,0.00000,1.00000,0.00000,
4.50000,-0.27530,1.33279,1.09734,0.01552,0.00000,0.00000,1.00000,0.00000,
4.54000,-0.27412,1.33834,1.09701,0.01481,0.00000,0.00000,1.00000,0.00000,
4.57000,-0.27267,1.34724,1.09640,0.01367,0.00000,0.00000,1.00000,0.00000,
4.60000,-0.27191,1.35571,1.09570,0.01259,0.00000,0.00000,1.00000,0.00000,
4.67000,-0.27183,1.36217,1.09509,0.01178,0.00000,0.00000,1.00000,0.00000,
4.70000,-0.27222,1.36837,1.09443,0.01102,0.00000,0.00000,1.00000,0.00000,
4.74000,-0.27259,1.37136,1.09408,0.01065,0.00000,0.00000,1.00000,0.00000,
4.77000,-0.27367,1.37717,1.09335,0.00995,0.00000,0.00000,1.00000,0.00000,
4.80000,-0.27518,1.38272,1.09258,0.00928,0.00000,0.00000,1.00000,0.00000,
4.84000,-0.27608,1.38540,1.09218,0.00896,0.00000,0.00000,1.00000,0.00000,
4.87000,-0.27874,1.39185,1.09114,0.00820,0.00000,0.00000,1.00000,0.00000,
4.90000,-0.27995,1.39432,1.09071,0.00791,0.00000,0.00000,1.00000,0.00000,
4.94000,-0.28190,1.39791,1.09005,0.00750,0.00000,0.00000,1.00000,0.00000,
4.97000,-0.28698,1.40579,1.08843,0.00660,0.00000,0.00000,1.00000,0.00000,
5.04000,-0.28934,1.40895,1.08771,0.00623,0.00000,0.00000,1.00000,0.00000,
5.07000,-0.29595,1.41670,1.08571,0.00532,0.00000,0.00000,1.00000,0.00000,
5.14000,-0.29766,1.41848,1.08519,0.00511,0.00000,0.00000,1.00000,0.00000,
5.17000,-0.30195,1.42266,1.08388,0.00460,0.00000,0.00000,1.00000,0.00000,
5.20000,-0.30367,1.42422,1.08335,0.00440,0.00000,0.00000,1.00000,0.00000,
5.24000,-0.30711,1.42713,1.08228,0.00402,0.00000,0.00000,1.00000,0.00000,
5.27000,-0.30967,1.42913,1.08146,0.00375,0.00000,0.00000,1.00000,0.00000,
5.30000,-0.31221,1.43097,1.08064,0.00348,0.00000,0.00000,1.00000,0.00000,
5.34000,-0.31557,1.43316,1.07953,0.00313,0.00000,0.00000,1.00000,0.00000,
5.37000,-0.31889,1.43504,1.07841,0.00280,0.00000,0.00000,1.00000,0.00000,
5.40000,-0.32054,1.43587,1.07784,0.00264,0.00000,0.00000,1.00000,0.00000,
5.44000,-0.32382,1.43729,1.07671,0.00234,0.00000,0.00000,1.00000,0.00000,
5.47000,-0.32709,1.43841,1.07558,0.00204,0.00000,0.00000,1.00000,0.00000,
5.50000,-0.33117,1.43938,1.07415,0.00171,0.00000,0.00000,1.00000,0.00000,
5.54000,-0.33363,1.43974,1.07329,0.00152,0.00000,0.00000,1.00000,0.00000,
5.60000,-0.33693,1.43995,1.07214,0.00129,0.00000,0.00000,1.00000,0.00000,
5.64000,-0.34026,1.43988,1.07099,0.00107,0.00000,0.00000,1.00000,0.00000,
5.67000,-0.34363,1.43954,1.06983,0.00087,0.00000,0.00000,1.00000,0.00000,
5.70000,-0.34533,1.43927,1.06926,0.00078,0.00000,0.00000,1.00000,0.00000,
5.74000,-0.34790,1.43874,1.06839,0.00065,0.00000,0.00000,1.00000,0.00000,
5.77000,-0.35136,1.43782,1.06723,0.00048,0.00000,0.00000,1.00000,0.00000,
5.80000,-0.35399,1.43698,1.06637,0.00037,0.00000,0.00000,1.00000,0.00000,
5.84000,-0.35753,1.43566,1.06522,0.00022,0.00000,0.00000,1.00000,0.00000,
5.87000,-0.36112,1.43414,1.06407,0.00009,0.00000,0.00000,1.00000,0.00000,
5.90000,-0.36293,1.43331,1.06350,0.00003,0.00000,0.00000,1.00000,0.00000,
5.94000,-0.36658,1.43152,1.06236,-0.00009,0.00000,0.00000,1.00000,0.00000,
5.97000,-0.36934,1.43007,1.06152,-0.00017,0.00000,0.00000,1.00000,0.00000,
6.00000,-0.37306,1.42801,1.06040,-0.00026,0.00000,0.00000,1.00000,0.00000,
6.04000,-0.37587,1.42639,1.05956,-0.00033,0.00000,0.00000,1.00000,0.00000,
6.07000,-0.37965,1.42414,1.05847,-0.00041,0.00000,0.00000,1.00000,0.00000,
6.10000,-0.38535,1.42061,1.05684,-0.00052,0.00000,0.00000,1.00000,0.00000,
6.17000,-0.38918,1.41817,1.05578,-0.00058,0.00000,0.00000,1.00000,0.00000,
6.20000,-0.39398,1.41507,1.05447,-0.00065,0.00000,0.00000,1.00000,0.00000,
6.27000,-0.39784,1.41255,1.05344,-0.00070,0.00000,0.00000,1.00000,0.00000,
6.30000,-0.40365,1.40872,1.05193,-0.00076,0.00000,0.00000,1.00000,0.00000,
6.37000,-0.40851,1.40551,1.05070,-0.00080,0.00000,0.00000,1.00000,0.00000,
6.40000,-0.41046,1.40422,1.05021,-0.00081,0.00000,0.00000,1.00000,0.00000,
6.44000,-0.41437,1.40163,1.04925,-0.00084,0.00000,0.00000,1.00000,0.00000,
6.47000,-0.41829,1.39904,1.04831,-0.00086,0.00000,0.00000,1.00000,0.00000,
6.50000,-0.42025,1.39774,1.04785,-0.00086,0.00000,0.00000,1.00000,0.00000,
6.54000,-0.42715,1.39322,1.04626,-0.00088,0.00000,0.00000,1.00000,0.00000,
6.57000,-0.43110,1.39064,1.04539,-0.00089,0.00000,0.00000,1.00000,0.00000,
6.64000,-0.43307,1.38936,1.04495,-0.00089,0.00000,0.00000,1.00000,0.00000,
6.67000,-0.43703,1.38679,1.04410,-0.00089,0.00000,0.00000,1.00000,0.00000,
6.70000,-0.44393,1.38232,1.04267,-0.00088,0.00000,0.00000,1.00000,0.00000,
6.74000,-0.44688,1.38042,1.04207,-0.00088,0.00000,0.00000,1.00000,0.00000,
6.77000,-0.45080,1.37790,1.04129,-0.00087,0.00000,0.00000,1.00000,0.00000,
6.84000,-0.45274,1.37664,1.04091,-0.00086,0.00000,0.00000,1.00000,0.00000,
6.87000,-0.45758,1.37351,1.03997,-0.00084,0.00000,0.00000,1.00000,0.00000,
6.90000,-0.45950,1.37227,1.03961,-0.00084,0.00000,0.00000,1.00000,0.00000,
6.94000,-0.46708,1.36733,1.03820,-0.00080,0.00000,0.00000,1.00000,0.00000,
7.00000,-0.47173,1.36428,1.03736,-0.00078,0.00000,0.00000,1.00000,0.00000,
7.07000,-0.47898,1.35945,1.03608,-0.00073,0.00000,0.00000,1.00000,0.00000,
7.14000,-0.47987,1.35885,1.03592,-0.00073,0.00000,0.00000,1.00000,0.00000,
7.17000,-0.48684,1.35409,1.03473,-0.00068,0.00000,0.00000,1.00000,0.00000,
7.24000,-0.48938,1.35232,1.03430,-0.00066,0.00000,0.00000,1.00000,0.00000,
7.27000,-0.49353,1.34939,1.03360,-0.00063,0.00000,0.00000,1.00000,0.00000,
7.30000,-0.49516,1.34822,1.03334,-0.00062,0.00000,0.00000,1.00000,0.00000,
7.34000,-0.50072,1.34417,1.03243,-0.00058,0.00000,0.00000,1.00000,0.00000,
7.40000,-0.50380,1.34188,1.03194,-0.00056,0.00000,0.00000,1.00000,0.00000,
7.44000,-0.50829,1.33845,1.03123,-0.00052,0.00000,0.00000,1.00000,0.00000,
7.50000,-0.51265,1.33505,1.03055,-0.00049,0.00000,0.00000,1.00000,0.00000,
7.57000,-0.51824,1.33054,1.02971,-0.00045,0.00000,0.00000,1.00000,0.00000,
7.64000,-0.52028,1.32885,1.02941,-0.00043,0.00000,0.00000,1.00000,0.00000,
7.67000,-0.52229,1.32716,1.02911,-0.00041,0.00000,0.00000,1.00000,0.00000,
7.70000,-0.52427,1.32548,1.02883,-0.00040,0.00000,0.00000,1.00000,0.00000,
7.74000,-0.52686,1.32323,1.02846,-0.00038,0.00000,0.00000,1.00000,0.00000,
7.77000,-0.52877,1.32154,1.02819,-0.00036,0.00000,0.00000,1.00000,0.00000,
7.80000,-0.53252,1.31817,1.02767,-0.00033,0.00000,0.00000,1.00000,0.00000,
7.84000,-0.53495,1.31592,1.02734,-0.00031,0.00000,0.00000,1.00000,0.00000,
7.90000,-0.53911,1.31200,1.02680,-0.00028,0.00000,0.00000,1.00000,0.00000,
7.97000,-0.54085,1.31032,1.02657,-0.00027,0.00000,0.00000,1.00000,0.00000,
8.00000,-0.54256,1.30865,1.02635,-0.00026,0.00000,0.00000,1.00000,0.00000,
8.04000,-0.54426,1.30698,1.02614,-0.00025,0.00000,0.00000,1.00000,0.00000,
8.07000,-0.54648,1.30476,1.02587,-0.00023,0.00000,0.00000,1.00000,0.00000,
8.10000,-0.55026,1.30091,1.02541,-0.00021,0.00000,0.00000,1.00000,0.00000,
8.14000,-0.55238,1.29873,1.02516,-0.00019,0.00000,0.00000,1.00000,0.00000,
8.20000,-0.55342,1.29764,1.02504,-0.00018,0.00000,0.00000,1.00000,0.00000,
8.24000,-0.55547,1.29548,1.02480,-0.00017,0.00000,0.00000,1.00000,0.00000,
8.27000,-0.55699,1.29387,1.02462,-0.00016,0.00000,0.00000,1.00000,0.00000,
8.30000,-0.55749,1.29334,1.02457,-0.00016,0.00000,0.00000,1.00000,0.00000,
8.34000,-0.56045,1.29017,1.02424,-0.00014,0.00000,0.00000,1.00000,0.00000,
8.37000,-0.56381,1.28653,1.02387,-0.00012,0.00000,0.00000,1.00000,0.00000,
8.44000,-0.56475,1.28551,1.02377,-0.00012,0.00000,0.00000,1.00000,0.00000,
8.47000,-0.56661,1.28348,1.02358,-0.00011,0.00000,0.00000,1.00000,0.00000,
8.50000,-0.56844,1.28149,1.02339,-0.00010,0.00000,0.00000,1.00000,0.00000,
8.54000,-0.56934,1.28050,1.02330,-0.00009,0.00000,0.00000,1.00000,0.00000,
8.57000,-0.57157,1.27807,1.02307,-0.00008,0.00000,0.00000,1.00000,0.00000,
8.60000,-0.57202,1.27759,1.02303,-0.00008,0.00000,0.00000,1.00000,0.00000,
8.64000,-0.57377,1.27568,1.02285,-0.00007,0.00000,0.00000,1.00000,0.00000,
8.67000,-0.57506,1.27427,1.02273,-0.00007,0.00000,0.00000,1.00000,0.00000,
8.70000,-0.57676,1.27242,1.02256,-0.00006,0.00000,0.00000,1.00000,0.00000,
8.74000,-0.57760,1.27151,1.02248,-0.00006,0.00000,0.00000,1.00000,0.00000,
8.77000,-0.58009,1.26882,1.02224,-0.00005,0.00000,0.00000,1.00000,0.00000,
8.80000,-0.58090,1.26793,1.02216,-0.00005,0.00000,0.00000,1.00000,0.00000,
8.84000,-0.58251,1.26619,1.02201,-0.00004,0.00000,0.00000,1.00000,0.00000,
8.87000,-0.58488,1.26364,1.02179,-0.00003,0.00000,0.00000,1.00000,0.00000,
8.94000,-0.58795,1.26036,1.02150,-0.00002,0.00000,0.00000,1.00000,0.00000,
9.00000,-0.58870,1.25956,1.02143,-0.00002,0.00000,0.00000,1.00000,0.00000,
9.04000,-0.58981,1.25837,1.02132,-0.00002,0.00000,0.00000,1.00000,0.00000,
9.07000,-0.59163,1.25643,1.02115,-0.00002,0.00000,0.00000,1.00000,0.00000,
9.10000,-0.59270,1.25530,1.02105,-0.00001,0.00000,0.00000,1.00000,0.00000,
9.14000,-0.59340,1.25455,1.02098,-0.00001,0.00000,0.00000,1.00000,0.00000,
9.17000,-0.59513,1.25272,1.02082,-0.00001,0.00000,0.00000,1.00000,0.00000,
9.20000,-0.59615,1.25164,1.02072,-0.00001,0.00000,0.00000,1.00000,0.00000,
9.24000,-0.59813,1.24954,1.02052,-0.00000,0.00000,0.00000,1.00000,0.00000,
9.30000,-0.59942,1.24818,1.02039,0.00000,0.00000,0.00000,1.00000,0.00000,
9.34000,-0.60005,1.24751,1.02033,0.00000,0.00000,0.00000,1.00000,0.00000,
9.37000,-0.60129,1.24620,1.02020,0.00000,0.00000,0.00000,1.00000,0.00000,
9.40000,-0.60250,1.24491,1.02007,0.00001,0.00000,0.00000,1.00000,0.00000,
9.44000,-0.60310,1.24428,1.02001,0.00001,0.00000,0.00000,1.00000,0.00000,
9.47000,-0.60455,1.24274,1.01985,0.00001,0.00000,0.00000,1.00000,0.00000,
9.50000,-0.60512,1.24213,1.01978,0.00001,0.00000,0.00000,1.00000,0.00000,
9.54000,-0.60569,1.24153,1.01972,0.00001,0.00000,0.00000,1.00000,0.00000,
9.57000,-0.60733,1.23977,1.01953,0.00001,0.00000,0.00000,1.00000,0.00000,
9.60000,-0.60813,1.23892,1.01944,0.00001,0.00000,0.00000,1.00000,0.00000,
9.64000,-0.60866,1.23836,1.01937,0.00001,0.00000,0.00000,1.00000,0.00000,
9.67000,-0.60968,1.23725,1.01925,0.00001,0.00000,0.00000,1.00000,0.00000,
9.70000,-0.61142,1.23538,1.01902,0.00001,0.00000,0.00000,1.00000,0.00000,
9.77000,-0.61214,1.23460,1.01893,0.00001,0.00000,0.00000,1.00000,0.00000,
9.80000,-0.61308,1.23358,1.01880,0.00001,0.00000,0.00000,1.00000,0.00000,
9.84000,-0.61421,1.23234,1.01864,0.00001,0.00000,0.00000,1.00000,0.00000,
9.90000,-0.61574,1.23066,1.01842,0.00001,0.00000,0.00000,1.00000,0.00000,
9.97000,-0.61679,1.22949,1.01825,0.00001,0.00000,0.00000,1.00000,0.00000,
10.00000,-0.61720,1.22904,1.01819,0.00001,0.00000,0.00000,1.00000,0.00000,
10.04000,-0.61760,1.22859,1.01812,0.00001,0.00000,0.00000,1.00000,0.00000,
10.07000,-0.61917,1.22684,1.01786,0.00001,0.00000,-0.00000,1.00000,0.00000,
10.14000,-0.61992,1.22599,1.01773,0.00001,0.00000,-0.00000,1.00000,0.00000,
10.17000,-0.62047,1.22536,1.01763,0.00001,0.00000,-0.00001,1.00000,0.00000,
10.20000,-0.62118,1.22455,1.01750,0.00001,0.00000,-0.00003,1.00000,0.00000,
10.24000,-0.62153,1.22414,1.01743,0.00001,0.00000,-0.00006,1.00000,0.00000,
10.27000,-0.62239,1.22315,1.01727,0.00001,0.00000,-0.00009,1.00000,0.00000,
10.30000,-0.62321,1.22218,1.01710,0.00001,0.00000,-0.00016,1.00000,0.00000,
10.37000,-0.62448,1.22067,1.01683,0.00001,0.00000,-0.00031,1.00000,0.00000,
10.44000,-0.62493,1.22010,1.01673,0.00001,0.00000,-0.00058,1.00000,0.00000,
10.47000,-0.62538,1.21953,1.01663,0.00001,0.00000,-0.00073,1.00000,0.00000,
10.50000,-0.62582,1.21895,1.01653,0.00000,0.00000,-0.00097,1.00000,0.00000,
